[0.1786166934916299, 0.029013138330308608, 0.08361296995604772, 0.219309713069145, 0.23220328848172392, 0.18664476828916574, 0.2004622278342941, 0.2671152911230697, 0.2387934788866389, 0.2781227085009668, 0.33270005406312936, 0.44705344586647716, 0.5412763969551257, 0.5124762171096306, 0.5761068902729938, 0.6622819366302825, 0.7407680828533738, 0.7455217906581544, 0.9017491296826708, 0.9641925754813077, 0.9716167632775722, 0.9370565556338157, 0.9117852059744717, 1.005092617946012, 1.0510023096328074, 1.0664873372947525, 1.1007939366033865, 1.0950758686227489, 0.9627808259014834, 0.9100831135091294, 0.9140117782524134, 0.9567140286175275, 0.9626303951151964, 1.0222100233856573, 0.9929999434698444, 0.909735245035527, 0.8919431890288448, 0.8058656350927486, 0.849023926100265, 0.780409700475769, 0.7857047927490054, 0.7507188919459147, 0.6695640504639723, 0.6007535446422407, 0.5883137882481028, 0.621289549938386, 0.49465054247642976, 0.5983635625728109, 0.5520664028155926, 0.5804601228659143, 0.4830779851015157, 0.36456948485296303, 0.41847335074282765, 0.3153345812478249, 0.21316551297172287, 0.13501405116239334, 0.0685873113637486, -0.03373079835409383, -0.07200638756667536, -0.21070077094565, -0.26490819714981423, -0.2326577151301032, -0.32923245116457456, -0.3620980744856616, -0.5353244850405338, -0.6309338551785377, -0.6532899425694172, -0.7540207550784115, -0.7793589941138287, -0.7364814224888521, -0.7919858358908411, -0.9035227152862925, -0.9482176419524888, -1.0083091278343994, -0.9258642957290864, -0.9225922500738062, -0.9591551186017018, -0.9631722851859379, -0.9974053878259838, -0.9595825656036256, -0.9208082427003987, -0.8964342644894547, -0.8947605077752024, -0.9136833195679064, -0.9349195158634582, -0.9148524999818365, -0.856822145980406, -0.7966264563450041, -0.7703145991647626, -0.8414759157841492, -0.8267796155927432, -0.7169078002199846, -0.676693039548897, -0.6237425110754458, -0.5268180584662999, -0.4733108392429567, -0.4056073626921776, -0.4365555248303029, -0.39899945229505684, -0.2743604051000976, -0.25509777765705344, -0.23363278665860712, -0.17759390441393544, -0.12776008144874113, -0.10702371353088977, -0.07389920813448543, 0.015319788266465118, 0.13356340995069096, 0.11401885556967686, 0.16340118833963668, 0.28895396737521606, 0.34355149566501647, 0.4158770605332518, 0.5224288852441129, 0.6382959346306375, 0.722179761647036, 0.7786131422260906, 0.8212698513643033, 0.9972651690826899, 1.030638474444876, 1.0229367282211461, 0.8949750539704129, 0.8088859886246633, 0.7876830800437209, 0.7666872423455546, 0.8819100181735479, 0.7922002061455957, 0.8641173786239922, 0.872768357073604, 0.8578630535630369, 0.912037109565478, 0.9886390391465245, 1.0969538115282258, 1.053703176000814, 1.07764401364253, 0.987724555508984, 0.982294078118095, 0.9663275376951097, 0.8970575631064467, 0.8279541881660226, 0.7939582379429274, 0.8559953465595344, 0.7674897238180931, 0.792540651289289, 0.6747901216303511, 0.5639203400012163, 0.5388754252363867, 0.38966116394196215, 0.3543616378617186, 0.325746577083447, 0.3101708449476802, 0.14887989391145323, 0.10721971617833237, -0.0007195140619984386, -0.1027984275281065, -0.16312725072940795, -0.20447895358142176, -0.16938239981223027, -0.33459175384422457, -0.44305864631881775, -0.5940318094938636, -0.5929346719916628, -0.6335799782459096, -0.6330037360694498, -0.574030204252528, -0.5974213113560747, -0.6346020125059428, -0.7058348795165471, -0.6973240363678268, -0.7207788567850656, -0.7625762930891603, -0.8131456844407591, -0.8100062892419961, -0.9015903301456822, -0.9197637253516298, -0.8506585942768558, -0.9614700810648353, -1.073769505787915, -1.0306980718030587, -0.8854291090126987, -0.8390938807530338, -0.8960521359463229, -0.9555796723514778, -0.9388154565148306, -0.9909236169929627, -1.0748452537850757, -0.9560036528298396, -0.8870411921971437, -0.9138548706509179, -0.9405948158661428, -0.9453532207257522, -0.8256677055985545, -0.7149483230221129, -0.7199574273058152, -0.6824419941967865, -0.6171069752778036, -0.5859382346398394, -0.5019335628985753, -0.40016461029164746, -0.4192276636482304]
(0, 0.1786166934916299)
(1, -0.12059041683101268)
(2, 0.19281263320752595)
(3, 0.6263999424084369)
(4, 0.2837775901320394)
(5, -0.04114783267362526)
(6, 0.2833669851050645)
(7, 0.7336867341444987)
(8, 0.012218980995192641)
(9, 0.6320857750299181)
(10, 0.7243901491132554)
(11, 1.0229435012024648)
(12, 1.1350421440940124)
(13, 0.3383981439534861)
(14, 0.9200843217656701)
(15, 0.8206026308992617)
(16, 1.0682284473359773)
(17, 0.7812238121923062)
(18, 1.5744923712403573)
(19, 1.256520233016285)
(20, 0.7986320270759024)
(21, 0.6773414247648984)
(22, 0.8823286475005712)
(23, 1.2714722636688907)
(24, 1.379181238633624)
(25, 0.9754529075187108)
(26, 1.4112944404223182)
(27, 0.7240431323859289)
(28, 0.2515419440277036)
(29, 0.7295431090927442)
(30, 0.8379186745087445)
(31, 1.1043639284160396)
(32, 0.9414923124772608)
(33, 1.8672685463734995)
(34, 1.0870804394754936)
(35, 0.14280592317553653)
(36, 1.2333738803554968)
(37, -0.13673240697503264)
(38, 0.6831248541028667)
(39, 0.043400852847784166)
(40, 0.8908695972411089)
(41, 0.7545049203851333)
(42, 0.12994389765783554)
(43, 1.1791634881561843)
(44, 0.9626828755341148)
(45, 0.4725635400783678)
(46, -0.03301619426406591)
(47, 0.9003977939887793)
(48, 0.22015325653068396)
(49, 0.3273380533510024)
(50, -0.08295178040287955)
(51, -0.4305800821003922)
(52, 0.6689825565564818)
(53, 0.147775793206157)
(54, -0.05900780722690574)
(55, -0.30895107801492755)
(56, -0.697283592250513)
(57, -0.12278330318964537)
(58, -0.16260263559513144)
(59, -1.0596057804387438)
(60, -0.625026042444522)
(61, -0.10807526190328198)
(62, -0.2967648037882315)
(63, -0.18088044000471426)
(64, -1.7912719127756271)
(65, -1.265044779394966)
(66, -0.9208444661593085)
(67, -1.1300914282795889)
(68, -0.41598502594930375)
(69, -0.6308300641889764)
(70, -1.1800701764644137)
(71, -1.2234440558577948)
(72, -0.7437140704501964)
(73, -0.7817952988238198)
(74, -0.9668235917224957)
(75, -1.2323243228421632)
(76, -1.2864731514382663)
(77, -1.1702630941219492)
(78, -0.7583160523497632)
(79, -0.25260184196539504)
(80, -0.7923269474321418)
(81, -0.979704273748357)
(82, -0.7269765033076736)
(83, -0.9710234167508582)
(84, -1.179185554678016)
(85, -1.0316541640259438)
(86, -0.7061696114239616)
(87, -0.5683061977679303)
(88, -0.495197480547349)
(89, -0.9642150081592609)
(90, -0.6453639455180814)
(91, 0.11901387997922885)
(92, -0.32482889659679903)
(93, -0.4415181320163448)
(94, -0.20994102858655656)
(95, -0.4965819717925123)
(96, -0.029134845916171187)
(97, -0.8777878191491832)
(98, -0.11963675519488723)
(99, 0.2821754637903304)
(100, -0.45273767108763907)
(101, 0.3336637899636919)
(102, 0.23555992584991764)
(103, 0.05682009763559806)
(104, -0.002577349408042634)
(105, -0.16533691782846877)
(106, 0.8630551180933341)
(107, 0.30464839769307506)
(108, -0.3150822990050284)
(109, 0.7759987914899288)
(110, 0.8027901192681554)
(111, 0.8796390728616954)
(112, 0.9588155745322711)
(113, 1.122338344744209)
(114, 1.1560931444572027)
(115, 0.673501352335516)
(116, 1.4273889238838804)
(117, 0.7312154890752028)
(118, 1.4448708781788369)
(119, 1.1097318451117903)
(120, 0.7257726570308577)
(121, -0.3999776696456385)
(122, 0.09792492107477413)
(123, 0.9103092589347854)
(124, 0.9461347674755404)
(125, 1.82572911061545)
(126, 0.5302908036043572)
(127, 1.4503872138591685)
(128, 1.5313806626749549)
(129, 0.960678810006118)
(130, 1.2675132170552708)
(131, 0.3660416261648253)
(132, 1.1810726448917892)
(133, 0.47780290366066464)
(134, 1.1855431438927013)
(135, 0.9265345292799914)
(136, 0.4759860296954656)
(137, 1.2907218096293147)
(138, 0.8386809167883255)
(139, 0.26964506060187665)
(140, 0.9275537148243203)
(141, 0.9864127123308943)
